Time,Temperature,Temperature_0,Temperature_1,Temperature_2,heat C,heat B,heat A
1/15/2021 13:19:41.925,22.760077,22.911772,22.767651,22.79605,22.850999,22.813607,22.858808
1/15/2021 13:19:42.425,22.765022,22.916007,22.786086,22.804309,22.83543,22.808215,22.871165
1/15/2021 13:19:42.925,22.770205,22.932074,22.789138,22.808545,22.843116,22.801228,22.868674
1/15/2021 13:19:43.425,22.757276,22.943283,22.778576,22.809105,22.827747,22.815677,22.884543
1/15/2021 13:19:43.925,22.758858,22.933743,22.781341,22.802168,22.812166,22.811456,22.882924
1/15/2021 13:19:44.425,22.774366,22.929372,22.784306,22.801345,22.824695,22.802922,22.89072
1/15/2021 13:19:44.925,22.76242,22.939908,22.7752,22.80005,22.820985,22.824771,22.878018
1/15/2021 13:19:45.425,22.769644,22.929147,22.756154,22.805854,22.829045,22.826678,22.867855
1/15/2021 13:19:45.925,22.757924,22.934466,22.778751,22.798157,22.8417,22.814958,22.851166
1/15/2021 13:19:46.425,22.77459,22.924627,22.772697,22.798967,22.826903,22.802054,22.870447
1/15/2021 13:19:46.925,22.771888,22.928078,22.766918,22.808098,22.849049,22.806925,22.866562
1/15/2021 13:19:47.425,22.756853,22.931739,22.7791,22.801583,22.82135,22.82064,22.878146
1/15/2021 13:19:47.925,22.795318,22.925948,22.759818,22.804784,22.836059,22.828486,22.870137
1/15/2021 13:19:48.425,22.778951,22.941055,22.786051,22.790784,22.837095,22.80207,22.859103
1/15/2021 13:19:48.925,22.764091,22.914603,22.767405,22.787285,22.821639,22.80034,22.874412
1/15/2021 13:19:49.425,22.758972,22.926049,22.768912,22.795656,22.837868,22.809942,22.864846
1/15/2021 13:19:49.925,22.75384,22.937009,22.788394,22.819633,22.822025,22.787473,22.874089
1/15/2021 13:19:50.425,22.774592,22.946873,22.779326,22.801099,22.832738,22.793926,22.863266
1/15/2021 13:19:50.925,22.744025,22.927668,22.774792,22.808398,22.85309,22.814279,22.860663
1/15/2021 13:19:51.425,22.769188,22.928454,22.759721,22.811787,22.834383,22.81829,22.856392
1/15/2021 13:19:51.925,22.772177,22.936175,22.77691,22.800103,22.837971,22.807679,22.862109
1/15/2021 13:19:52.425,22.765401,22.938629,22.783151,22.816757,22.824844,22.804965,22.848746
1/15/2021 13:19:52.925,22.740015,22.935491,22.754216,22.803915,22.831758,22.789633,22.873882
1/15/2021 13:19:53.425,22.766672,22.924992,22.779452,22.818265,22.835509,22.813737,22.874793
1/15/2021 13:19:53.925,22.759223,22.943811,22.770584,22.785967,22.814161,22.805878,22.870957
1/15/2021 13:19:54.425,22.789405,22.912227,22.758402,22.797688,22.818745,22.820638,22.873175
1/15/2021 13:19:54.925,22.74282,22.927646,22.767433,22.79536,22.841441,22.79411,22.868892
1/15/2021 13:19:55.425,22.757568,22.917072,22.772715,22.803954,22.84635,22.815111,22.858892
1/15/2021 13:19:55.925,22.780775,22.921819,22.769889,22.761369,22.850758,22.80745,22.856911
1/15/2021 13:19:56.425,22.751167,22.915168,22.766787,22.804416,22.834445,22.822139,22.850537
1/15/2021 13:19:56.925,22.762565,22.896038,22.754991,22.791438,22.835666,22.795434,22.876843
1/15/2021 13:19:57.425,22.758405,22.921222,22.764322,22.799585,22.836489,22.82087,22.876009
1/15/2021 13:19:57.925,22.75087,22.932619,22.76649,22.80341,22.832542,22.803907,22.86165
1/15/2021 13:19:58.425,22.743645,22.936754,22.760686,22.802339,22.833653,22.806674,22.865128
1/15/2021 13:19:58.925,22.752341,22.926754,22.768671,22.794231,22.846932,22.812854,22.88172
1/15/2021 13:19:59.425,22.77176,22.942148,22.768684,22.787854,22.81861,22.804647,22.856475
1/15/2021 13:19:59.925,22.738951,22.913839,22.786758,22.820364,22.839052,22.804026,22.891587
1/15/2021 13:20:00.425,22.765708,22.918586,22.732574,22.802391,22.821603,22.80835,22.872483
1/15/2021 13:20:00.925,22.743001,22.940369,22.777082,22.788441,22.81453,22.798911,22.856418
1/15/2021 13:20:01.425,22.766644,22.937979,22.759781,22.805694,22.842358,22.805913,22.853008
1/15/2021 13:20:01.925,22.764216,22.939811,22.765636,22.785043,22.833118,22.803772,22.868379
1/15/2021 13:20:02.425,22.757814,22.937432,22.761364,22.803727,22.837255,22.829682,22.868257
1/15/2021 13:20:02.925,22.759347,22.92666,22.761477,22.793664,22.827268,22.817802,22.857797
1/15/2021 13:20:03.425,22.781059,22.938194,22.770646,22.788159,22.816508,22.810828,22.858633
1/15/2021 13:20:03.925,22.76965,22.934596,22.776277,22.784324,22.8437,22.805362,22.870205
1/15/2021 13:20:04.425,22.729579,22.942094,22.760347,22.795847,22.819989,22.792063,22.870632
1/15/2021 13:20:04.925,22.756038,22.920985,22.755328,22.782782,22.849148,22.807497,22.862637
1/15/2021 13:20:05.425,22.778721,22.930177,22.755765,22.796708,22.820392,22.809032,22.834591
1/15/2021 13:20:05.925,22.749525,22.914474,22.771772,22.800645,22.832799,22.799667,22.87161
1/15/2021 13:20:06.425,22.776008,22.908533,22.759677,22.792337,22.848061,22.798363,22.873619
1/15/2021 13:20:06.925,22.765284,22.935199,22.752977,22.795577,22.837066,22.802514,22.864044
1/15/2021 13:20:07.425,22.747697,22.91028,22.774914,22.794794,22.837977,22.806265,22.839397
1/15/2021 13:20:07.925,22.732415,22.899969,22.769809,22.781169,22.826434,22.794248,22.84371
1/15/2021 13:20:08.425,22.750092,22.916223,22.754589,22.791982,22.819324,22.786191,22.836363
1/15/2021 13:20:08.925,22.743691,22.920472,22.764991,22.795048,22.826041,22.805689,22.863669
1/15/2021 13:20:09.425,22.727573,22.902936,22.76544,22.77325,22.837591,22.795939,22.855577
1/15/2021 13:20:09.925,22.778471,22.893248,22.764508,22.805214,22.83119,22.799478,22.859352
1/15/2021 13:20:10.425,22.742125,22.904234,22.755378,22.795848,22.815315,22.789282,22.844423
1/15/2021 13:20:10.925,22.727328,22.91547,22.741765,22.783892,22.82517,22.787777,22.851202
1/15/2021 13:20:11.425,22.743722,22.899915,22.761709,22.785139,22.843433,22.792788,22.845089
1/15/2021 13:20:11.925,22.738405,22.784986,22.759705,22.765385,22.836947,22.804762,22.849963
1/15/2021 13:20:12.425,22.75237,22.797766,22.7474,22.791894,22.814817,22.803458,22.860491
1/15/2021 13:20:12.925,22.752223,22.272743,22.74394,22.779913,22.835645,22.794467,22.861914
1/15/2021 13:20:13.425,22.734773,22.291028,22.780687,22.807667,22.816431,22.803651,22.851692
1/15/2021 13:20:13.925,22.738163,22.303173,22.733903,22.779817,22.82793,22.803318,22.857275
