Time,Temperature,Temperature_0,Temperature_1,Temperature_2,heat C,heat B,heat A
1/15/2021 14:03:32.234,65.019901,65.161508,64.321414,64.744103,66.17936,66.592667,67.020381
1/15/2021 14:03:32.734,65.052677,65.210112,64.374391,64.840211,66.200025,66.588331,67.053426
1/15/2021 14:03:33.234,65.075603,65.224548,64.400534,64.848912,66.216855,66.596903,67.068876
1/15/2021 14:03:33.734,65.07918,65.264144,64.379098,64.796273,66.235066,66.639194,67.082727
1/15/2021 14:03:34.234,65.032325,65.230369,64.379508,64.676446,66.242251,66.645001,67.063767
1/15/2021 14:03:34.734,64.996504,65.249383,64.375808,64.637868,66.240619,66.637407,67.086903
1/15/2021 14:03:35.234,65.037672,65.225621,64.413082,64.641866,66.253425,66.646313,67.094432
1/15/2021 14:03:35.734,65.052196,65.213302,64.441378,64.668783,66.268745,66.670576,67.119151
1/15/2021 14:03:36.234,65.057038,65.275958,64.440484,64.700473,66.296389,66.664274,67.129819
1/15/2021 14:03:36.734,65.085501,65.300059,64.475606,64.716318,66.303924,66.696578,67.124511
1/15/2021 14:03:37.234,65.128672,65.299409,64.521997,64.773032,66.322292,66.715862,67.160993
1/15/2021 14:03:37.734,65.119264,65.322348,64.610571,64.758345,66.32595,66.72961,67.169236
1/15/2021 14:03:38.234,65.194178,65.376151,64.668057,64.83625,66.355058,66.74312,67.178387
1/15/2021 14:03:38.734,65.201486,65.370611,64.688675,64.806617,66.368819,66.766971,67.192834
1/15/2021 14:03:39.234,65.230887,65.416757,64.704083,64.81514,66.397886,66.786862,67.231756
1/15/2021 14:03:39.734,65.25034,65.452727,64.69761,64.865572,66.402086,66.797942,67.237332
1/15/2021 14:03:40.234,65.183734,65.457014,64.676198,64.938465,66.405512,66.797469,67.24305
1/15/2021 14:03:40.734,65.197127,65.477287,64.670777,65.026886,66.416665,66.827197,67.264749
1/15/2021 14:03:41.234,65.229861,65.498548,64.660836,65.031631,66.422162,66.85471,67.281023
1/15/2021 14:03:41.734,65.254376,65.481538,64.61009,64.951521,66.456358,66.850833,67.293886
1/15/2021 14:03:42.234,65.248664,65.480415,64.5555,64.962329,66.462166,66.865355,67.301298
1/15/2021 14:03:42.734,65.218055,65.495231,64.530392,65.071677,66.446873,66.869098,67.302289
1/15/2021 14:03:43.234,65.23194,65.497874,64.540838,65.144757,66.452449,66.878572,67.295023
1/15/2021 14:03:43.734,65.237267,65.505724,64.550526,65.103738,66.495377,66.87884,67.313177
1/15/2021 14:03:44.234,65.238935,65.556943,64.557701,65.116878,66.495066,66.89183,67.324102
1/15/2021 14:03:44.734,65.284203,65.542333,64.564887,65.142417,66.500934,66.900908,67.326529
1/15/2021 14:03:45.234,65.369323,65.542107,64.596787,65.172017,66.493172,66.898192,67.336426
1/15/2021 14:03:45.734,65.373365,65.584688,64.628825,65.209327,66.522617,66.925341,67.36426
1/15/2021 14:03:46.234,65.421864,65.614602,64.676186,65.267463,66.551152,66.924978,67.360687
1/15/2021 14:03:46.734,65.428056,65.643275,64.750529,65.237865,66.552418,66.936106,67.377775
1/15/2021 14:03:47.234,65.417275,65.658876,64.75535,65.249339,66.579051,66.964571,67.410365
1/15/2021 14:03:47.734,65.439949,65.644157,64.771833,65.277061,66.585946,66.957935,67.42024
1/15/2021 14:03:48.234,65.444931,65.677583,64.836015,65.323798,66.569375,66.995716,67.444718
1/15/2021 14:03:48.734,65.466699,65.710131,64.891516,65.327443,66.639989,67.000047,67.446297
1/15/2021 14:03:49.234,65.483773,65.755648,64.953564,65.340388,66.655319,67.038309,67.48616
1/15/2021 14:03:49.734,65.481414,65.767511,64.980114,65.303156,66.640316,67.02927,67.509453
1/15/2021 14:03:50.234,65.53956,65.768305,64.961405,65.336069,66.683772,67.084647,67.525385
1/15/2021 14:03:50.734,65.566018,65.766316,64.955975,65.383635,66.694374,67.101669,67.512138
1/15/2021 14:03:51.234,65.565741,65.775444,64.939865,65.400105,66.725445,67.078617,67.545726
1/15/2021 14:03:51.734,65.563207,65.817642,65.002264,65.449649,66.732158,67.135551,67.571928
1/15/2021 14:03:52.234,65.558547,65.830415,65.012747,65.480318,66.734129,67.115277,67.574815
1/15/2021 14:03:52.734,65.580237,65.845681,64.990158,65.468974,66.769726,67.140094,67.601693
1/15/2021 14:03:53.234,65.63701,65.793719,64.991185,65.366075,66.783957,67.165102,67.598037
1/15/2021 14:03:53.734,65.609649,65.803751,65.00902,65.295352,66.778047,67.181665,67.606344
1/15/2021 14:03:54.234,65.664297,65.790037,65.033849,65.236439,66.789373,67.185881,67.605515
1/15/2021 14:03:54.734,65.670179,65.785597,65.014036,65.344187,66.805113,67.206895,67.62538
1/15/2021 14:03:55.234,65.673369,65.81769,65.014702,65.362518,66.823592,67.20909,67.651422
